,start_datetime,end_datetime_x,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,width_lower_bound,rank,region,max_datetime,end_datetime_y
51,2003-11-04 20:00:00,2003-11-05 00:00:00,10000,200,S19W83,10486,28.0,11/04,19:54,,360,2657,True,False,1.0,486.0,2003-11-04 19:53:00,2003-11-04 20:06:00
20,2001-04-02 22:05:00,2001-04-03 02:30:00,14000,250,N19W72,9393,20.0,04/02,22:06,261,244,2505,False,False,2.0,9393.0,2001-04-02 21:51:00,2001-04-02 22:03:00
47,2003-10-29 20:55:00,2003-10-30 00:00:00,11000,500,S15W02,10486,10.0,10/29,20:54,,360,2029,True,False,6.0,486.0,2003-10-29 20:49:00,2003-10-29 21:01:00
1,1997-11-06 12:20:00,1997-11-07 08:30:00,14000,100,S18W63,8100,9.4,11/06,12:10,,360,1556,True,False,7.0,8100.0,1997-11-06 11:55:00,1997-11-06 12:01:00
90,2017-09-06 12:05:00,2017-09-07 08:00:00,16000,70,S08W33,12673,9.3,09/06,12:24,,360,1571,True,False,8.0,2673.0,2017-09-06 12:02:00,2017-09-06 12:10:00
66,2006-12-05 10:50:00,2006-12-05 20:00:00,14000,250,S07E68,10930,9.0,,,,,,False,False,9.0,930.0,2006-12-05 10:35:00,2006-12-05 10:45:00
48,2003-11-02 17:30:00,2003-11-03 01:00:00,12000,250,S14W56,10486,8.3,11/02,17:30,,360,2598,True,False,10.0,486.0,2003-11-02 17:25:00,2003-11-02 17:39:00
59,2005-01-20 07:15:00,2005-01-20 16:30:00,14000,25,N14W61,10720,7.1,01/20,06:54,,360,882,True,False,12.0,720.0,2005-01-20 07:01:00,2005-01-20 07:26:00
71,2011-08-09 08:20:00,2011-08-09 08:35:00,16000,4000,N17W69,11263,6.9,08/09,08:12,,360,1610,True,False,13.0,1263.0,2011-08-09 08:05:00,2011-08-09 08:08:00
67,2006-12-06 19:00:00,2006-12-09 00:00:00,16000,30,S05E64,10930,6.5,,,,,,False,False,14.0,930.0,2006-12-06 18:47:00,2006-12-06 19:00:00
63,2005-09-09 19:45:00,2005-09-09 22:00:00,10000,50,S12E67,10808,6.2,09/09,19:48,,360,2257,True,False,15.0,808.0,2005-09-09 20:04:00,2005-09-09 20:36:00
12,2000-07-14 10:30:00,2000-07-15 14:30:00,14000,80,N22W07,9077,5.7,07/14,10:54,,360,1674,True,False,17.0,9077.0,2000-07-14 10:24:00,2000-07-14 10:43:00
22,2001-04-06 19:35:00,2001-04-07 01:50:00,14000,230,S21E31,9415,5.6,04/06,19:30,,360,1270,True,False,18.0,9415.0,2001-04-06 19:21:00,2001-04-06 19:31:00
76,2012-03-07 01:00:00,2012-03-08 19:00:00,16000,30,N17E27,11429,5.4,03/07,00:24,,360,2684,True,False,19.0,1429.0,2012-03-07 00:24:00,2012-03-07 00:40:00
26,2001-08-25 16:50:00,2001-08-25 23:00:00,8000,170,S17E34,9591,5.3,08/25,16:50,,360,1433,True,False,22.0,9591.0,2001-08-25 16:45:00,2001-08-25 17:04:00
86,2014-02-25 00:56:00,2014-02-25 11:28:00,14000,100,S12E82,11990,4.9,02/25,01:25,,360,2147,True,False,23.0,1990.0,2014-02-25 00:49:00,2014-02-25 01:03:00
36,2002-07-23 00:50:00,2002-07-23 04:00:00,11000,400,S13E72,10039,4.8,07/23,00:42,,360,2285,True,False,25.0,39.0,2002-07-23 00:35:00,2002-07-23 00:47:00
17,2000-11-26 17:00:00,2000-11-26 17:15:00,14000,7000,N18W38,9236,4.0,11/26,17:06,,360,980,True,False,26.0,9236.0,2000-11-26 16:48:00,2000-11-26 16:56:00
50,2003-11-03 10:00:00,2003-11-03 12:30:00,6000,400,N08W77,10488,3.9,11/03,10:06,293,103,1420,False,False,27.0,488.0,2003-11-03 09:55:00,2003-11-03 10:19:00
41,2003-05-28 01:00:00,2003-05-29 00:30:00,1000,200,S07W20,10365,3.6,05/28,00:50,,360,1366,True,False,33.0,365.0,2003-05-28 00:27:00,2003-05-28 00:39:00
68,2006-12-13 02:45:00,2006-12-13 10:40:00,12000,150,S06W23,10930,3.4,12/13,02:54,,360,1774,True,False,34.0,930.0,2006-12-13 02:40:00,2006-12-13 02:57:00
32,2001-12-28 20:35:00,2001-12-29 03:00:00,14000,350,S26E90,9756,3.4,12/28,20:30,,360,2216,True,False,35.0,9767.0,2001-12-28 20:45:00,2001-12-28 21:32:00
35,2002-07-20 21:30:00,2002-07-20 22:20:00,10000,2000,S13E90,10039,3.3,07/20,22:06,,360,1941,True,False,37.0,39.0,2002-07-20 21:30:00,2002-07-20 21:54:00
81,2013-05-14 01:16:00,2013-05-14 08:20:00,16000,240,N08E77,11748,3.2,05/14,01:25,,360,2625,True,False,39.0,1748.0,2013-05-14 01:11:00,2013-05-14 01:20:00
38,2002-08-24 01:45:00,2002-08-24 03:25:00,5000,400,S02W81,10069,3.1,08/24,01:27,,360,1913,True,False,41.0,69.0,2002-08-24 01:12:00,2002-08-24 01:31:00
80,2013-05-13 16:15:00,2013-05-13 19:10:00,16000,300,N11E85,11748,2.8,05/13,16:07,,360,1850,True,False,43.0,1748.0,2013-05-13 16:05:00,2013-05-13 16:16:00
89,2015-05-05 22:24:00,2015-05-05 23:14:00,14000,500,N15E79,12339,2.7,05/05,22:24,,360,715,True,False,46.0,2339.0,2015-05-05 22:11:00,2015-05-05 22:15:00
49,2003-11-03 01:15:00,2003-11-03 01:25:00,3000,1500,N10W83,10488,2.7,11/03,01:59,304,65,827,False,False,47.0,488.0,2003-11-03 01:30:00,2003-11-03 01:45:00
6,1998-05-06 08:25:00,1998-05-06 08:35:00,14000,5000,S11W65,8210,2.7,05/06,08:29,309,190,1099,False,False,48.0,8210.0,1998-05-06 08:09:00,1998-05-06 08:20:00
55,2005-01-15 23:00:00,2005-01-17 00:00:00,3000,40,N15W05,10720,2.6,01/15,23:06,,360,2861,True,False,49.0,720.0,2005-01-15 23:02:00,2005-01-15 23:31:00
27,2001-09-24 10:45:00,2001-09-25 20:00:00,7000,30,S16E23,9632,2.6,09/24,10:30,,360,2402,True,False,50.0,9632.0,2001-09-24 10:38:00,2001-09-24 11:09:00
0,1997-11-04 06:00:00,1997-11-05 04:30:00,14000,100,S14W33,8100,2.1,11/04,06:10,,360,785,True,False,,,,
2,1997-11-27 13:30:00,1997-11-27 14:00:00,14000,7000,N17E63,8113,2.6,11/27,13:56,98,91,441,False,False,,,,
3,1998-04-23 06:00:00,1998-04-23 15:30:00,14000,200,S17E90,8210,1.2,04/23,05:55,,360,1691,True,False,,,,
4,1998-04-27 09:20:00,1998-04-27 10:00:00,10000,1000,S16E50,8210,1.0,04/27,08:56,,360,1385,True,False,,,,
5,1998-05-02 14:25:00,1998-05-02 14:50:00,5000,3000,S15W15,8210,1.1,05/02,14:06,,360,938,True,False,,,,
7,1999-08-28 18:25:00,1999-08-28 18:33:00,16000,12000,S26W14,8674,1.1,08/28,18:26,120,245,462,False,False,,,,
8,1999-10-14 09:10:00,1999-10-14 10:00:00,14000,4000,N11E32,8731,1.8,10/14,09:26,,360,1250,True,False,,,,
9,2000-02-05 19:34:00,2000-02-05 19:38:00,5800,2900,N26E52,8858,1.2,02/05,19:54,60,76,632,False,False,,,,
10,2000-06-06 15:20:00,2000-06-08 09:00:00,14000,40,N20E18,9026,2.3,06/06,15:54,,360,1119,True,False,,,,
11,2000-07-11 13:00:00,2000-07-11 13:30:00,12000,1000,N18E27,9077,1.0,07/11,13:27,,360,1078,True,False,,,,
13,2000-11-24 05:10:00,2000-11-24 15:00:00,14000,100,N20W05,9236,2.0,11/24,05:30,,360,1289,True,False,,,,
14,2000-11-24 15:25:00,2000-11-24 22:00:00,14000,200,N22W07,9236,2.3,11/24,15:30,,360,1245,True,False,,,,
15,2000-11-24 22:24:00,2000-11-24 22:36:00,4000,3000,N21W14,9236,1.8,11/24,22:06,,360,1005,True,False,,,,
16,2000-11-25 19:00:00,2000-11-25 19:35:00,6000,2000,N20W23,9236,1.9,11/25,19:31,,360,671,True,False,,,,
18,2001-03-29 10:12:00,2001-03-30 06:00:00,4000,60,N20W19,9393,1.7,03/29,10:26,,360,942,True,False,,,,
19,2001-04-02 11:30:00,2001-04-02 12:00:00,14000,5000,N20W70,9393,1.1,04/02,11:26,270,80,992,False,False,,,,
21,2001-04-03 03:40:00,2001-04-03 07:25:00,14000,400,S21E83,9415,1.2,04/03,03:26,108,292,1613,False,False,,,,
23,2001-04-10 05:24:00,2001-04-11 00:00:00,14000,100,S23W09,9415,2.3,04/10,05:30,,360,2411,True,False,,,,
24,2001-04-12 10:20:00,2001-04-12 10:40:00,14000,7000,S19W43,9415,2.0,04/12,10:31,,360,1184,True,False,,,,
25,2001-04-15 14:05:00,2001-04-16 13:00:00,14000,40,S20W85,9415,14.0,04/15,14:06,245,167,1199,False,False,,,,
28,2001-10-19 01:15:00,2001-10-19 02:25:00,14000,1300,N16W18,9661,1.6,10/19,01:27,,360,558,True,False,,,,
29,2001-10-19 16:45:00,2001-10-21 16:40:00,14000,30,N15W29,9661,1.6,10/19,16:50,,360,901,True,False,,,,
30,2001-10-25 15:30:00,2001-10-27 23:00:00,14000,30,S16W21,9672,1.3,10/25,15:26,,360,1092,True,False,,,,
31,2001-11-04 16:30:00,2001-11-06 11:00:00,14000,70,N06W18,9684,1.0,11/04,16:35,,360,1810,True,False,,,,
33,2002-04-21 01:30:00,2002-04-22 00:00:00,10000,60,S14W84,9906,1.5,04/21,01:27,,360,2393,True,False,,,,
34,2002-07-18 07:55:00,2002-07-18 08:45:00,14000,1500,N19W30,10030,1.8,07/18,08:06,,360,1099,True,False,,,,
37,2002-08-03 19:20:00,2002-08-03 20:30:00,14000,2000,S16W76,10039,1.0,08/03,19:31,259,138,1150,False,False,,,,
39,2003-03-18 12:25:00,2003-03-18 13:45:00,4500,500,S15W46,10314,1.5,03/18,12:30,263,209,1601,False,False,,,,
40,2003-05-27 23:12:00,2003-05-27 23:45:00,14000,2000,S07W17,10365,1.3,05/27,23:50,,360,964,True,False,,,,
42,2003-05-29 01:10:00,2003-05-29 08:00:00,13000,200,S06W37,10365,1.2,05/29,01:27,,360,1237,True,False,,,,
43,2003-06-16 00:00:00,2003-06-16 03:00:00,14000,400,S07E80,10386,1.3,06/15,23:54,,360,2053,True,False,,,,
44,2003-10-26 07:00:00,2003-10-26 09:15:00,8000,1500,S15E44,10486,1.2,10/26,06:54,108,207,1371,False,True,,,,
45,2003-10-26 17:45:00,2003-10-26 19:40:00,14000,1500,N02W38,10484,1.2,10/26,17:54,270,171,1537,False,True,,,,
46,2003-10-28 11:10:00,2003-10-30 00:00:00,14000,40,S16E08,10486,17.0,10/28,11:30,,360,2459,True,False,,,,
52,2004-11-07 16:25:00,2004-11-08 20:00:00,14000,60,N09W17,10696,2.0,11/07,16:54,,360,1759,True,False,,,,
53,2004-11-10 02:25:00,2004-11-10 03:40:00,14000,1000,N09W49,10696,2.5,11/10,02:26,,360,3387,True,False,,,,
54,2005-01-01 00:45:00,2005-01-01 02:25:00,14000,450,N06E34,10715,1.7,01/01,00:54,,360,832,True,False,,,,
56,2005-01-17 09:25:00,2005-01-17 16:00:00,14000,30,N15W25,10720,2.0,01/17,09:30,,360,2094,True,False,,,,
57,2005-01-17 10:00:00,2005-01-17 10:35:00,6100,1500,N15W25,10720,3.8,01/17,09:54,,360,2547,True,False,,,,
58,2005-01-19 09:20:00,2005-01-20 00:00:00,5300,40,N15W51,10720,1.3,01/19,08:29,,360,2020,True,False,,,,
60,2005-07-14 11:00:00,2005-07-14 12:54:00,3000,800,N11W90,10786,1.2,07/14,10:54,,360,2115,True,False,,,,
61,2005-07-30 07:40:00,2005-07-30 20:00:00,9000,80,N12E60,10792,1.3,07/30,06:50,,360,1968,True,False,,,,
62,2005-09-07 18:05:00,2005-09-08 00:00:00,12000,200,S11E77,10808,1.7,,,,,,False,False,,,,
64,2005-09-10 21:45:00,2005-09-11 01:00:00,14000,200,S13E47,10808,2.1,09/10,21:52,,360,1893,True,False,,,,
65,2005-09-13 20:20:00,2005-09-15 06:00:00,1100,35,S09E10,10808,1.5,09/13,20:00,,360,1866,True,False,,,,
69,2006-12-14 22:30:00,2006-12-14 23:40:00,14000,1500,S06W46,10930,1.5,12/14,22:30,,360,1042,True,False,,,,
70,2011-02-15 02:10:00,2011-02-15 07:00:00,16000,400,S20W12,11158,2.2,02/15,02:24,,360,669,True,False,,,,
72,2011-09-06 22:30:00,2011-09-07 15:40:00,16000,150,N14W18,11283,2.1,09/06,23:05,,360,575,True,False,,,,
73,2011-09-22 11:05:00,2011-09-23 00:00:00,14000,70,N09E89,11302,1.4,09/22,10:48,,360,1905,True,False,,,,
74,2012-01-27 18:30:00,2012-01-28 04:45:00,16000,150,N27W71,11402,1.7,01/27,18:27,,360,2508,True,False,,,,
75,2012-03-05 04:00:00,2012-03-05 12:20:00,16000,400,N17E52,11429,1.1,03/05,04:00,,360,1531,True,False,,,,
77,2012-07-06 23:10:00,2012-07-07 03:40:00,16000,300,S13W59,11515,1.1,07/06,23:24,,360,1828,True,False,,,,
78,2012-07-12 16:45:00,2012-07-13 09:00:00,14000,250,S15W01,11520,1.4,07/12,16:48,,360,885,True,False,,,,
79,2013-05-13 02:20:00,2013-05-13 03:00:00,16000,2000,N11E90,11748,1.7,05/13,02:00,,360,1270,True,False,,,,
82,2013-05-15 01:49:00,2013-05-15 07:57:00,16000,230,N12E64,11748,1.2,05/15,01:48,,360,1366,True,False,,,,
83,2013-10-25 15:08:00,2013-10-25 22:32:00,16000,200,S06E69,11882,2.1,10/25,15:12,,360,1081,True,False,,,,
84,2013-11-19 10:39:00,2013-11-19 20:20:00,14000,100,S14W70,11893,1.0,11/19,10:36,,360,740,True,False,,,,
85,2014-01-07 18:33:00,2014-01-08 21:00:00,14000,60,S15W11,11943,1.2,01/07,18:24,,360,1830,True,False,,,,
87,2014-06-10 12:58:00,2014-06-10 15:00:00,16000,1000,S17E82,12087,1.5,06/10,13:30,,360,1469,True,False,,,,
88,2014-09-10 17:45:00,2014-09-11 12:00:00,14000,100,N14E02,12158,1.6,09/10,18:00,,360,1267,True,False,,,,
91,2017-09-10 16:02:00,2017-09-11 06:50:00,16000,150,S09W92,,8.3,09/10,16:00,,360,3163,True,False,,,,
